target,comment_text
1,i can tell you what the argument is about here newseventsguy this is your retroactive reversion of simple edit attempting to include secondary independent verification of sedimentary nanodiamonds in younger dryas sediments by bement and madden et al without discussion reference which note has not yet been included in the reference list after all this time it is after you admit that you ignore the peer reviewed literature and controversy any attempt to simply modify the reference list on this page has been trampled by no fewer than five admittedly biased and ignorant editors the honorable thing to do here would be to recuse yourself from editing the page as did but haven seen that happen until now good luck you ve already made complete fool of yourself
1,hello how can get someone to fix the shit around here
1,dictionaries how dare you call my contribution spam am kurdish and made list of kurdish dictionaries you bloody turkish nationalist and bone breaking atoricity of the nazis watch out people this slimy turk is trying to censor the internet it not undemocratic turkey here no prison cells on wikipedia you stupid turk and you assholes want to join the eec
1,you know everything jimbo why not live your life instead of sitting in front of your computer all day the high priestess of knowledge indeed
1,what fucking stupidity are these assholes blocking us
1,you are sir an imbecile and pervert
1,another crappy article is about what capoeira school promotion websites say about origin myths and also this story of persecution in the late capoeira became word for fighting thus the authorities did not prohibit or sanction the practice of capoeira by banning capoeira they were outright prohibiting street fights this is why mestre bimba presented his art as luta regional baiana no decent carioca would be keen to sympathize with capoeira and malandrismo could try to edit the article but it has become such mess now
1,i also sock puppet from this account suprise sincerely the man who will stalk you on the internet and kill you
1,are you an asshole asshole you have nothing better to do than block the university computers go suck some cock
1,hello you are disgrace to humanity stop wasting precious internet resources you re killing the fucking planet and throw away your pc ps it around am what kind of wacky life do you have on wikipedia very sad and lonely lol life is too short find something better to do
1,your retarded bot your bot is fully automated that not true you shouldn leave an unattended script running on the site like that it silly of you to assume that your scripting abilities are so perfect that they will only ever make appropriate edits banning me doesn do any good asshole since have as many ips as want
1,don like racism and see you have problems with people who speak spanish you are too an antisemite
1,it wasn vandalism dickhead
1,this sucks if you don delete the barry dejay page will you
1,hahaha you don really believe the bullshit you re telling me right now you re talking about access to the country or representatives in government not kim jong un himself they are two totally different things although could understand your stupidity since the north koreans think kim jong un is the government just saying go troll somewhere else kid
1,block the mardyks guess what losing do you know what cock blocker is hahahaha
1,wikipedia admins defend psychopath mass murderer
1,you wasted your time take this advice with you get your head out of your ass be real and don spend the rest of your life sucking ass have good life goodbye mailbox
1,a few points to clear things up first don like you you seem like smug little jerk to me second don like your ethnicity no way would like you to explain this third your dog is bit of master
1,ok stop being stupid seriously go watch pok mon
1,i didn mean to be disruptive was just constantly upset by that word only tried to pass it off as an april fool joke after your explanation made me look like stuck up weirdo
1,matt when mattsanchez info goes live on monday among other things you will see an invitation to be interviewed this time you will have nowhere to hide let see who is victim and who is coward
1,don help the jew schnider last warning
1,please don spread your bullshit hate to see another article being challenged for its neutrality because of you
1,you are truly rebel rebels it time to get fucked by prostitute
1,of course real dub will say paaart or more likely in gone
1,harassment of muslim men on mm page it amazing how three muslim men jumped all over this page right after added few things minutes later all three men all muslims and that cleaned it does woman working for human rights in pakistan really annoy you that much wow so honey if you re so busy why don you get busy and stop harassing women are you that threatened
1,i tried to be productive look at my contributions but hit my head against wall of spoiled greek children or probably underpaid by the greek government who deliberately continue to vandalize pages linked to the albania and irritate albanian publishers until they explode and are banned as historian blush at what find cited as reliable information on wikipedia pages and at the quality of the editors and sources time to move on to the french pages lots of readers there more languages to go see you next time wikipedia sucks
1,here an idea fuck you asshole
1,fuck you smith please notify me of your death want to dance on your grave
1,i shit on your face fuck you
1,you are so retarded
1,aine you re fucking sad m going to restore my edit and you re going to leave it or ll knee you in the groin yourself asshole
1,video game for the love of pete if see this fake video game article one more time m throwing cat out the window whoever you are stop it now it not funny or smart you re just being jerk out of yourself and bet it the same person who also changed the date on the test card
1,he loves muhamad ali ass and kelly has giant penis and also fucked columbus
1,shut up and stay quiet don edit again
1,ps are you late
1,ohhh m sorry hurt your little feelings let all shed few tears together lol what joke bet you feel pretty important you pathetic little wikipedia volunteer have fun living in your mom basement drawing comics lowlife
1,fuck you you murderous bastard
1,am offended am very offended that pompous sanctimonious idiot thinks that no one should be allowed to express appreciation for women like the gibson girl as fine featured and beautifully beautiful creatures painful that they don know what kind of totalitarian feminazi dystopian agenda you re trying to impose on people but don do it here this encyclopedia is based on freedom of expression and the free exchange of information not on false political correctness and schooling thought police ll take gibson girl over you any day
1,you gay bastard know where you live m going to sand your face off then m going to beat you to pulp you chicken
1,okay dennis brown thanks for telling me m taking this little too seriously ll watch out for stupid robots this time
1,wikipedia is full of idiots who takes money and makes people work for free wikipedia you might as well ban me you idiot what taking so long wiki is stupid place it jimbo cult
1,why are you changing the somali people wiki seriously this page is private to clan have added more diversified representation of the somalian people you stupid criminal
1,transistor the transistors page doesn have working principle section because physicists know it but don want to share it they just don know how it works was thinking about it and came up with pretty decent concept of how it works put it on wiki think the guys got jealous and here am discussing pretty much nothing ps and my language is pathetic naughty boy m going to eat you
1,you re studid cock sucker you stop calling me ok it a frank garrett eating the worms that crawl out of your mother pussy you re fucking retard m punching retard
1,fisherqueen would you please stop tracking my every move and removing items from my user page don you have anything better to do than annoy people on wikipedia
1,so jim burton child molesting faggot see you re with us for another day making total buffoon as usual don know what sadder here you or extreme hypocritical arrogance you are displaying by lecturing the world on ethical principles for your claimed rights to abuse our children you have no ethical principles to save your life but it it just like the roman poet said isn it the harlot always rebukes the chaste will you ever drop dead we could all breathe little easier for the sake of our children you truly disgust me with every word you write
1,millinos of hunjan looking at hunjan model not just me other hunjan will fight back your concept art bull shit tharkarn and what waste man
1,damn troll reasons
1,sr cl bud bin way like long time like time spent without spirit good shit but mo latah an dat soon az ah gitz back heh sum de brotherz sistahs sez hance death or keen we are about to send zion ranger to check on him ah yes whoa this made me scream tru wallz not all but most the guy walking on the wall isn going to hurt bro he ll record him ee well so nice reminder of kum fuhst you read your identity leedle posting dis dat goes down good doan fohget gotta cut the sum zzzz after bit post sleep well and do fergit ta dream sumptin could kum jes ta bdh all wrapped up with delta wave na kupla otha carrierz what we diz cuss the atah chow brother
1,leave me alone already told you to leave me alone why can you fuck off and do your own fucking thing or do you find harassing me fun if you do you re fucking asshole and m going to ban you
1,be careful not to believe your own bullshit see on bullshit
1,you re wrong about everything but you re too stupid to notice you are lost cause your existence is flaw
1,wikidon stop stalking me
1,it wouldn be the first time bitch fuck it m going to find out where you live sodomize your wife and then burn your house down fuck you you fucking faggot
1,where is the real vagina the real vagina photo is missing would you mind if make the new one the photo of the vagina is of the indonesian vagina do you like it
1,fuck you jzg m going to have you removed as editor you stupid idiot
1,you re leaving loser way to defend your boyfriend blueboy make me go
1,how about this fuck you
1,the one who put review on my page will kill you
1,get off your high horse or block me
1,fuck you faggot don care if m blocked as long as everyone knows you re stupid asshole
1,messing around with heretics fuck heretics
1,ha there were no blp violations in the comments you supervised didn call anyone your abuse of administrative tools is pathetic and cowardly funny how talk about fascists controlling the gamergate article and you completely remove it from the history you just proved my point the only thing did was link it to the alleged death threat that brianna wu was peddling to the media which proved it to be complete fiction that your problem you don want your anti gamergate lies exposed
1,hey you hermaphrodite please unprotect your user page d like to move it to more appropriate title or three
1,it your father sam m worried about you m afraid your cock won fit in my ass anymore omfk lolz haha said peeenis gorf gorf gorf gorf
1,so threatening to try to get me banned for editing is fine but when suggest deleting your account for constantly deleting entire paragraphs completely ignoring wikipedia policies on this instead of tagging or edit so this is bullying this is absurd and you know it you are just trying to make me look bad by resorting to nonsense you are bully you also didn answer my question about which part is not neutral despite my statement that would edit it you just deleted it again get over yourself you do not own wikipedia the tags you placed on your user page change nothing are you deleting entire paragraphs for just one word ve sometimes made the mistake of putting subjective word in an edit before and someone noticed it you know what they did they published it you have just admitted in writing that instead of editing paragraphs that you consider non neutral or marking them as such you are deleting entire paragraphs that are against wikipedia policy
1,or any historical facts about present day armenia regarding wiki projects keep your pathetic winks on your anti turkish ass
1,what joker you are the european parliament has no power to do anything it not binding because it not serious and such stupid reports aren supposed to be serious what is more important is that we ruled your ancestors for centuries and trying to put negative images of turks in the turkey page will not change that this is not place to take revenge go edit the golden dawn wikipedia because your ideas will be very welcome
1,i have cock it bigger than yours hahaha
1,user attention xeno damn it bite your dick
1,is an ordinary prostitute sock puppet ve made lot of changes maybe but the eb project is now complete so only about changes remain can get rude is your basic sock puppet mouthed pervert it me fourthave
1,same sex marriage is totally gay well it is
1,fuck you people information about this can be found here
1,ghe you are faggot learn it know it
1,just thought hey jeremy why don you wash your vagina why do you insist that it smells like pile of moldy tuna m tired of smelling him baby when we make love do you doggy style and the smell pierces my nostrils have to turn away it disgusts me so much also wipe your ass little better m shitting on my dick and it really disgusting asshole
1,hey what do you think look at this page means didn get anything from the recent vandalism and personal attacks on my account guess what m just here to edit stuff the right way when you idiots go all out blaming me for something didn do get mad now what going on here
1,fuck you both don care what you think
1,lol stupid arabs and their you can show my god here a bomb because have sand in my vagina fucking towel heads
1,shut up you big poo or ll kick your ass
1,i am gay love am gay love am gay love
1,the only vandals are pathetic wiki administrators as encyclopediadramatica com says
1,it always good to bring together the ignorant and the mentally deficient die soon
1,no this is group effort wikipedia is collaborative community and there are no academic essays here the article needs to be more professional and have better title in addition to references is all there is to do so get off your high horse and accomplish what you want to see accomplished if you have these goals then put yourself to the test to solve this problem that what do every time something upsets me you re just picking fight about something you sure why you say because they re too ugly and don like the way they do not blend in with the crowd of neighbors yards so cheesy but m just passing through and have never taken this route before february utc
1,kiss my cock all of you
1,you have to stop what difference does it make if episodes of any show have their own articles you act like big geek will wp collapse within itself if it not perfect think the joker said it best when he said the only sensible way to live in this world is without rules and don even try to tell me that wp would be terrible without rules you can have moderators to stop the vandalism just stop the fucking redirect this annoys me and about of wp users
1,you are sad little individual
1,listen you narrow eyed professor living on minimum wage you can keep giving your buck buck chicken speech or maybe you could consider going back to lemuria the land where your kind of scum wander
1,it doesn matter what think am big retarded anti semite m going to throw myself in front of sixteen wheeler with the gate covered in barbed wire and record it on video for you people will find the lone tripod on the side of the road see the video think it lulzy and then put it on youtube for posterity
1,to blanchardb you bastard m going to sue you watch your back
1,suck my cock thanks talk hist
1,man you are such disgusting dishonest person
1,bad edition the setup looks good what wrong with you
1,this was good edit the polar bear is gay
1,take down morton you bastard stop deleting my shit you fucking white trash cracker fuck you you racist bitch hope you die
1,blah blah blah suce le irishguy
1,then try the official website damn
1,hi hi this question may seem bit stupid but don get me wrong are you jewish if so how do you really think there is resemblance between the holocostus and armed deportations
1,every other news agency said the crowd was chanting you re conservative too only the daily mail which is conservative newspaper reported that the crowd was chanting fucking conservative jew he is vile scab but it is because of his politics and not his lineage
1,it was who went to the administrative incident board for help because they were at war with me why should call the police if committed the crime you are truly ridiculous basically this guy stole my wallet punched him and you arrest me for assault horrible power hungry ego boosters have taken over wikipedia it seems
1,lmao that basically means wahhh he called me an idiot m going to block him nice use of those admin powers now stay off my talk page
1,fuck you and your little penis
1,re moving dragon slayer to the dragon slayer fuck your mother series you are son of bitch
1,and also you re not worth it
1,what do you mean cough cough excuse me who the hell are you accusing of disruptive editing was the one who wrote most of the article on rajbeer singh you gave you the right to just delete all my writings if you want to contribute links go ahead but who the hell gave you permission to just delete all the writings had spent time and effort efforts to be made continue to delete my work and will continue to undo yours with pleasure
1,live in darkness you are full of yourself and the importance you place on your own minds perhaps drunk with power
1,insult for musikanimal you are piece of fucking shit the reason m insulting is because fuck you wikipedia
1,when the funeral comes ll be their only one and ll only be theirs to piss on your grave
1,you don have any friends in real life what makes you think everyone on the internet will like you get the hint you re an asshole
1,the first three were rejected out of hand and the next half dozen were similarly discarded could produce another half dozen fukkin ones but that wouldn matter to complete pos paid bastard would it
1,anti semitic bullshit the whole article is an anti semitic conspiracy theory cherished by aryan supremacist right wingers
1,closemouth is dick fuck this guy is dick sucking moron fucking job and damn does the trans do it because it in this kind of shit gt
1,god hate them so much let hope they die
1,you won find any honorable mentions because such statement is bunch of racist bullshit
1,no it not his moms and can say that this page is really charming oh and ur mean no m joking but you re not that nice either because you have black black heart
1,who is the idiot who deleted all the information and bullshit really want to curse them right now
1,drmies removed frankie stein from monster high drmies is the word
1,mine is missing someone waxed my ass
1,stop leaving stupid angry messages for people who have nothing to do with what you re talking about
1,hey fuck you who checking the phnom nam lyr wildlife sanctuary for vandalism take fucking life you dungbag
1,yo what your problem with my page let it go damn it
1,oh gwh you really are the worst wikipedia administrator may god have mercy on your poor pathetic overweight ugly soul
1,unblock what is this the article about anne kilkenny was poorly written rewrote it so it didn look like crap look at my final edit fucking idiot
1,hey idiot m just checking the truth mobile was not the first to have an online ringtone maker brinked was do some fucking research before you take down my bullshit tired of you assholes deleting my hard work that put into making wikipedia relevant
1,we own the project so how the hell is it unambiguous copyright infringement and it wasn written in promotional way it just explained the project and the system requirements m starting to understand why so many people hate wikipedia
1,re snitch punk get the dick
1,oh right like this article sucks and you know it is not abusive language hypocrite eat shit and die loser
1,you are fago make life
1,jimbo the whiner he sits in front of his computer every day acting as the arbiter of the great wikipedia the one who knows everything knows everything and is the expert in everything the savior of the western world and of course when asked about anything he cries to the main office for mistreatment by the way bad editor who only uses one source joke
1,or any historical facts about present day armenia regarding wiki projects keep your pathetic winks on your anti turkish ass don delete the talk page entries you fucking asshole you do not have to present yourself as criminal on the loose aren you supposed to be pimping your mother in downtown los angeles at this time of night normally
1,lol lol seriously bryanfrompalatine my ip address resolves to cologne germany where reside don use sockpuppets and when edit over ip which do mainly because it is faster without all the css monobook gimmicks whenever remember include my only active username with the signature but please don let me stop you from wasting your meager brain resources just fucked my sexy girlfriend for two hours she came times me just times life is unfair so m really calm as hindu cow m laughing in your face pov pushing moron harming the encyclopedia everyone logged out
1,recent you re just pussy
1,attack year old child so sad shut up ok m only years old just wanted to have little fun captain buzz kill guess you never had life when you were young it was probably years old lol no yo beez nas
1,again m so glad wikipedia isn biased or filled with retarded children
1,aaron swartz stop reverting my fucking edits think aaron swartz is an idiot and he should have been killed long time ago know where you live will kill you if you turn over any more pages
1,why the fuck did you write that can vandalize wikipedia whenever want
1,my side of the story attention assholes and assholes have been called terrorist on this site bull to shit simply have vast amount of knowledge on wide range of topics scjessey for example didn mention that he was fucking asshole in his article so had to modify that was just trying to spread the truth alllallalalalalalalalaalalaalalalalalal sorry have to do this every minutes or ll go to hell allalalalalalalalalalalalalallalalalalalllalalala allah ever
1,moral defense you slimy toad
1,you are biased since signed up here ve made it point that none of you exist
1,well faggot block me block me oh the world is going to end soon get off your high horse will say what want from you if you continue to bash me will just have to post complaints about you on every newspaper and forum can find every chat room will be filled with how redfarmer did your mom come up with that name is untrustworthy if you block me can always find information on another site site where they don allow people or freaks like you to delete pages on whim so you re going to block me ban me pursue but be warned without being able to edit the pages can help you by giving you instructions on how to change your diapers sorry leonhart
1,fartsalot says fuck you asshole
1,you must have the lowest iq of anyone on wikipedia can converse with an idiot like you
1,kitten for you just because your pussy lies
1,i know it not mature and anyway it was my cousin went to the bathroom and he went on for while and he was stupid so don talk to me like did anything because m zod and can break you so let it go
1,you are gay man hope you choke on your penis and die send big black guy to cum in your face
1,what deceptive little creature you really are assuming it in good faith eh you deliberately deleted that because it sheds some light on where all these theories about racial hygiene come from from your dear little country that from there this doesn suit you does it so you want to give your readers the impression that am the crank and conspiracy theorian when wikipedia own article on henry ford also includes material on the protocols of zion
1,fy punk vidgmr was my friend it because of fag named klptyzm
1,sqgibbon your mother looks like slimy donute now look what happens to you ha ha ha ha
1,deletion of igho otegheri who the hell are you to decide what to delete or not you could go fuck yourself you little shit
1,also your mother gave me herpes tell her said thank you
1,stop trolling zapatancas calling me liar only shows that you are zapatancas you can choose to kick all legitimate editors off this site and ignore me but am an editor with track record that is not trolling and so my wishes should not be completely ignored by puppet like you the consensus is mostly against you and your trolling lover zapatancas
1,stop him spinningspark stop you were banned by the community when you blocked me you made the hole you now find yourself in deeper and deeper if you want to live you have to take advantage of your privileges basically keep the hell out of wikipedia for year and edit on other wikimedia projects to demonstrate that after week or two an appeal would be beneficial to the project if create new more selective account it may be eligible for administration if this is the case the first thing will do is get you banned from the community want vengeance ylgc dsynvm
1,no one cares about this fucking shit like you fucking bitch
1,the only thing you persist about yourself you ugly bastard is to fuck the troll
1,wtf banned one person in one group said it was banned in syria because of the proximity of the names al asad and al assad the correct form is al asad in the game said he was wrong and he went crazy saying stupid stuff that was stupid who is right because couldn find any sources that confirmed his statement that this game is banned in syria asad and assad are very common names in the middle east anyway
1,fuck you muthafucka you low level fucking loser hehe hahah
1,look you little bastard did nothing wrong m tired of your stupid harassment and you re really starting to annoy me little pussy m not doing anything wrong so swallow your pride know it hard for you and admit that you lost this fight now piss off black eyed booby
1,agree with this many parts of the article are apparently biased made up examples following the fall it was common knowledge that de molay planned to corrupt the male children of catherine of valois in occupied with their sorrows then engaging in acts of anal rape myths jacques de molay is said to have cursed philippe le bel and his descent from the execution pyre curse to which philippe responded by shouting in defiance fuck de molay it was theorized that many of the boys de molay had corrupted had learned to enjoy the perversions of the homosexual lifestyle presented to them legacy members are encouraged to model their conduct on his example of loyalty and fidelity instead of the homosexual perversions which de molay was guilty of himself vile pervert homosexual perversions sheesh could someone from sane please clean this article up
1,no you re the racist you fucking neo nazi you big boy
1,damn can you read why don you try to examine the content of the links m tired of children who complain without reading
1,what is happening here
1,you are little bitch you can handle an argument like man so you yell at the administrators kiss my ass
1,you are an idiot if you think wikipedia is respected entity in this world so shut up
1,especially burtalbert fucking asshole go suck cock fucking king of assholes
1,i ve had enough of you bastard
1,baklava for you damn
1,vandalism spree your vandalism spree is pitiful all this after supporting your motions thank you so much
1,this is my fuckers page so can say what want fuck you drini and naconkantari hope you enjoy your planned rape ps have you done count recently
1,scope please see the link above because m sure you re fucking spastic
1,hey wiki nerd you suck dude don like your nasty comments punk will beat your guts from behind signed lover boy ps love anal sex and we can have anal sex ll bring the ky gelly
1,motherfucker don change the fucking gta timeline
1,please stop vandalizing my page bitch
1,that was nice post on my talk page enjoyed it mean you still suck but yeah had fun talking
1,mfnickster don know if you ve ever been exposed to argumentative fallacies but just because she didn write about the extermination of the black population in her biographical accounts doesn mean it was an idea she was completely opposed to there seems to be enough evidence to warrant section in the article devoted to this subject don know why you have such hard time with her was she your great mother or something
1,you have abuse journals that are abuse journals on pages that have never published on what the hell is happening all ve tried to do is post on the sam couep page this is link to video on youtube why god can you explain to someone what you re doing when you re doing it if you delete it and then let me repost the exact same thing what is supposed to think what going on on your site is so complex that it impossible to simplify please can communicate with people who have deleted my links can communicate with anyone m getting of connection speed advertising do you have shares in telecommunications companies are you jew what is it happening for god sake
1,let see which one of us launches personal attacks and wages war against publishers that would be you and you respectively and now you are making threats good do you want to have good day stop being bully and find another hobby
1,how about little fire nate throws fireballs at nate stole wikipedia stole wikipedia damn wikipedia whore
1,it in spanish but it the truth if you don quote this you re acting like the frenzied guard knows everything you re not shit
1,you fascinate the nazis you socialist bastard you dirty hippie you dare touch my edits again and will go to where you live and kick your ass in person this shouldn be hard to find the communes smell worse than the slaughterhouses make changes don vandalize get off your high horse
1,don talk about googie man have simple words for you shut up let see guy who spends his time sitting in front of computer editing wikipedia named googie man what can say you think bigger than me you think you re better than me you are nothing stop calling me rogue editor it the cheesiest thing ve ever heard know you re mad at me for making fun of you and replacing you with horrible terrible ugly image of donnie baseball but calling me thug is the greatest outrage have never seen please remove this image before we all go blind would rather have no image on the page than have the worst image in the history of the world on the page never delete my comments on any talk page again have the right to express my opinions m bad guy but you re just hostage you can stop the reign of the king of wikipedia now go take some more pictures or something and stay out of my way m outside
1,why don you delete my freedom of speech fucking yourself you whiny little pipsquak that all you seem to be good at doing
1,go kill yourself you should be ashamed of yourself people like you are bastards who deserve to die you anti science assholes are destroying america
1,fucking nazi propaganda stay away from poland you fucking fascists
1,i not really sure what the problem is here what is the name of the rose it a book is this fictional library no this is not the case is this fictional librarian no it is not because real book cannot be something fictional so stop adding real things to the categories of fictional things not that difficult really
1,since this is my user page can say whatever want you are all group of fucking ass eaters and hope you all go to hell
1,you re an awesome wikipedian shit dirty turds to make you feel better don bother me summon
1,ibaranoff is little cocksucker slut why did you remove that you fucking loser you don like being wrong do you don care if get banned you can eat dick have good life and hope you find something to do with it other than being little bitch on wikipedia
1,i sorry you stupid this nice person just gave me warning then you block me fucking nigga pussy eat pussy bitch
1,can we go on date want to sniff your leaking can of blood
1,piss off your sanctimonious weed you forget that you are not concerned with this topic you have arbitrarily abused your privileges mean what kind of asshole suspends someone in another country because of dispute he doesn wasn even gone so when you and daniel dumbass are done stroking your egos you might want to remember that about wikipedia
1,actually m fully arab and islamic and the correct spelling unlike how you stupid christians spell it is mu ammar al qadhdhaffy but you are all too racist white and stupid also accept this
1,important that you and your family burn you have been warned if you troll the muzemikes talk page will massacre you in your sleep goodbye
1,don block me m right and fucking know it block that asshole kansas bear or something leave me alone
1,what wrong with you stop criticism of us you write in reviews fucking stop that maddox is an advice
1,in response to your recent comment on my talk page suggest you get cancer
1,kelly this is your mom talking please stop being nerd
1,love how you forget all the times israel did this to other nations including its allies like when they forged european passports to commit murder that resulted in the entrapment of innocent people and do we really need to talk about the uss liberty incident just because iran says something it must be bad right damn fools if you think that not something they would do or at least consider
1,hi hi welcome to wikipedia just wanted to let you know that you smell like juice from my poop chute cheers today
1,ps how the hell are you going to block me when you re not an administrator
1,when provide reliable source where ganga lal gupta has clear proof that kushwaha comes under kshatriya varna you bastard do you have blind eyes so you can see it
1,you are disgrace sitting there with no life undoing valid changes get silly life
1,i can believe what if you keep doing this will have to take drastic action watch your step it might be your last
1,why the stupid blocked but m sorry because of kingdom hearts iii for playstation and xbox one can you announce release for playstation
1,pedophiles sex criminals imperial japan nazi germany and other degenerates are also minority views and for good reason and by the way showing off your stalker skills and googling my name is pretty retarded and antisocial behavior please stop and seek therapy because you need it
1,ha ha fucking gwernol he doing it again he trying to protect his friends because he doesn care about the rules what big fucking surprise
1,apologies you blocked me once under another ip and it made me angry was determined to get revenge then found out that your wife was an honest african prostitute with aids and realized that nothing could do would make your life worse than it is virgin bride and you ll probably die virgin you are like the unicorn of sleepless nights it gold thank you very much honestly
1,i would also like to say that not only are you masturbator but you are also gay lol
1,smallthingy are you gay do you frequent the hellfire club do you shake your little butt on the catwalks
1,yeah well don subscribe to your opinion stop spamming me with posts here which makes your opinion superior to mine nothing if you mistreat me or spam me again will dispute it get it and bring it back to what had unless you show me proof to the contrary where your proof nowhere you re failing to run the show here
1,william saturn is sock puppet hey dickweed saturn remember me you stupid bitch
1,i sure you eat lot of tube steak
1,fuck you do what want
1,ooh guess hit nerve you realized your narcissism and stopped referring to yourself in the third person congratulations on revealing your insecurities one day you will hate yourself for living such worthless life edit wikipedia jesus
1,distribute blocks using twinkle what fucking shame lfdder
